profile,metric,pattern,size,workload,trials,original_mean,original_sd,optimised_mean,optimised_sd,saving_pct
viair,deploy_cost,Unchecked Arithmetic,arith1000,-,10,107647.00,0.0000,101591.00,0.0000,-5.63
default,deploy_cost,Unchecked Arithmetic,arith5000,-,10,119403.00,0.0000,107239.00,0.0000,-10.19
viair,deploy_cost,Unchecked Arithmetic,arith5000,-,10,107647.00,0.0000,101591.00,0.0000,-5.63
default,deploy_cost,Unchecked Arithmetic,sload100,-,10,123299.00,0.0000,113791.00,0.0000,-7.71
viair,deploy_cost,Unchecked Arithmetic,sload100,-,10,118311.00,0.0000,112051.00,0.0000,-5.29
default,deploy_cost,Unchecked Arithmetic,sload1000,-,10,123731.00,0.0000,114223.00,0.0000,-7.68
viair,deploy_cost,Unchecked Arithmetic,sload1000,-,10,118743.00,0.0000,112483.00,0.0000,-5.27
default,deploy_cost,Unchecked Arithmetic,sload5000,-,10,123731.00,0.0000,114223.00,0.0000,-7.68
viair,deploy_cost,Unchecked Arithmetic,sload5000,-,10,118743.00,0.0000,112483.00,0.0000,-5.27
default,deploy_size,Unchecked Arithmetic,arith100,-,10,333.00,0.0000,275.00,0.0000,-17.42
viair,deploy_size,Unchecked Arithmetic,arith100,-,10,277.00,0.0000,249.00,0.0000,-10.11
default,deploy_size,Unchecked Arithmetic,arith1000,-,10,335.00,0.0000,277.00,0.0000,-17.31
viair,deploy_size,Unchecked Arithmetic,arith1000,-,10,277.00,0.0000,249.00,0.0000,-10.11
default,deploy_size,Unchecked Arithmetic,arith5000,-,10,335.00,0.0000,277.00,0.0000,-17.31
viair,deploy_size,Unchecked Arithmetic,arith5000,-,10,277.00,0.0000,249.00,0.0000,-10.11
default,deploy_size,Unchecked Arithmetic,sload100,-,10,353.00,0.0000,309.00,0.0000,-12.46
viair,deploy_size,Unchecked Arithmetic,sload100,-,10,328.00,0.0000,299.00,0.0000,-8.84
default,deploy_size,Unchecked Arithmetic,sload1000,-,10,355.00,0.0000,311.00,0.0000,-12.39
viair,deploy_size,Unchecked Arithmetic,sload1000,-,10,330.00,0.0000,301.00,0.0000,-8.79
default,deploy_size,Unchecked Arithmetic,sload5000,-,10,355.00,0.0000,311.00,0.0000,-12.39
viair,deploy_size,Unchecked Arithmetic,sload5000,-,10,330.00,0.0000,301.00,0.0000,-8.79
default,fn_gas,Unchecked Arithmetic,arith100,loop,10,41201.00,0.0000,34946.00,0.0000,-15.18
viair,fn_gas,Unchecked Arithmetic,arith100,loop,10,37393.00,0.0000,35462.00,0.0000,-5.16
default,fn_gas,Unchecked Arithmetic,arith1000,loop,10,151944.00,0.0000,88904.00,0.0000,-41.49
viair,fn_gas,Unchecked Arithmetic,arith1000,loop,10,115069.00,0.0000,92947.00,0.0000,-19.22
default,fn_gas,Unchecked Arithmetic,arith5000,loop,10,643934.00,0.0000,328959.00,0.0000,-48.91
viair,fn_gas,Unchecked Arithmetic,arith5000,loop,10,458893.00,0.0000,348903.00,0.0000,-23.97
default,fn_gas,Unchecked Arithmetic,sload100,loop,10,276509.00,0.0000,269960.00,0.0000,-2.37
viair,fn_gas,Unchecked Arithmetic,sload100,loop,10,271001.00,0.0000,268734.00,0.0000,-0.84
default,fn_gas,Unchecked Arithmetic,sload1000,loop,10,2341153.00,0.0000,2276060.00,0.0000,-2.78
viair,fn_gas,Unchecked Arithmetic,sload1000,loop,10,2285146.00,0.0000,2263227.00,0.0000,-0.96
default,fn_gas,Unchecked Arithmetic,sload5000,loop,10,11517087.00,0.0000,11192037.00,0.0000,-2.82
viair,fn_gas,Unchecked Arithmetic,sload5000,loop,10,11237080.00,0.0000,11127293.00,0.0000,-0.98
